DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON,Premis Desc
01/14/2025 12:00:00 AM,1457,Topanga,BATTERY - SIMPLE ASSAULT,12,F,7300    WINNETKA                     AV,34.2035,-118.571,JUNIOR HIGH SCHOOL
02/25/2025 12:00:00 AM,1445,Northeast,OTHER MISCELLANEOUS CRIME,0,X,1800    ACADEMY                      DR,34.0807,-118.2425,STREET
03/27/2025 12:00:00 AM,1200,Harbor,VEHICLE - STOLEN,0,,2500    NAVY                         WY,33.7315,-118.2399,STREET
03/06/2025 12:00:00 AM,1400,Harbor,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,1500    BARRACUDA                    ST,33.7379,-118.2639,STREET
02/05/2025 12:00:00 AM,1430,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
02/18/2025 12:00:00 AM,1550,Newton,ROBBERY,15,M,3500 S  HILL                         ST,34.0183,-118.2757,JUNIOR HIGH SCHOOL
02/08/2025 12:00:00 AM,1900,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,1100 W  37TH                         PL,34.02,-118.2915,STREET
02/06/2025 12:00:00 AM,2100,Southeast,CHILD ANNOYING (17YRS & UNDER),16,F,11400    SUCCESS                      AV,33.9305,-118.2493,SINGLE FAMILY DWELLING
01/18/2025 12:00:00 AM,1323,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,3100 S  HOOVER                       ST,34.0268,-118.2896,STREET
01/23/2025 12:00:00 AM,2054,Harbor,VEHICLE - STOLEN,0,,300 E  HARRY BRIDGE                 BL,33.7753,-118.2456,PARKING LOT
03/02/2025 12:00:00 AM,1750,West Valley,OTHER MISCELLANEOUS CRIME,0,M,6300    WOODLEY                      AV,34.1822,-118.4836,PARK/PLAYGROUND
01/24/2025 12:00:00 AM,1343,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,14500    LANARK                       ST,34.2184,-118.4547,OTHER STORE
02/28/2025 12:00:00 AM,1315,Devonshire,BATTERY - SIMPLE ASSAULT,53,M,11200    GOTHIC                       AV,34.2737,-118.4887,HIGH SCHOOL
01/20/2025 12:00:00 AM,1347,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,SLIPS/DOCK/MARINA/BOAT
01/20/2025 12:00:00 AM,1230,Southwest,VEHICLE - STOLEN,0,,3600 S  VERMONT                      AV,34.0219,-118.2959,STREET
01/31/2025 12:00:00 AM,910,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",10,M,800 W  51ST                         ST,33.9964,-118.2872,ELEMENTARY SCHOOL
02/25/2025 12:00:00 AM,1900,Southwest,VEHICLE - STOLEN,0,,3100 S  FIGUEROA                     ST,34.0268,-118.2808,STREET
03/05/2025 12:00:00 AM,800,Hollenbeck,VEHICLE - STOLEN,0,,1200    CORNWELL                     ST,34.0574,-118.204,PARKING LOT
01/30/2025 12:00:00 AM,1927,Harbor,VEHICLE - STOLEN,0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,PARKING LOT
02/19/2025 12:00:00 AM,1730,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,1400    PLAYGROUND                   ST,34.0605,-118.2004,STREET
02/06/2025 12:00:00 AM,1547,Newton,ROBBERY,16,M,CENTRAL                      AV,33.9893,-118.2565,STREET
02/26/2025 12:00:00 AM,700,Harbor,OTHER MISCELLANEOUS CRIME,0,X,2100    JOHN S GIBSON                BL,33.7567,-118.2895,POLICE FACILITY
01/16/2025 12:00:00 AM,730,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,3000 S  ROYAL                        ST,34.0263,-118.2808,STREET
01/30/2025 12:00:00 AM,2306,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",42,M,1900    MAPLE                        AV,34.0289,-118.2686,OTHER BUSINESS
03/04/2025 12:00:00 AM,1930,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,1300 W  JEFFERSON                    BL,34.0255,-118.2948,STREET
03/21/2025 12:00:00 AM,1550,Wilshire,ROBBERY,16,M,7800    MELROSE                      AV,34.0838,-118.3595,BUS STOP
01/01/2025 12:00:00 AM,1550,Pacific,VEHICLE - STOLEN,0,,6100 W  94TH                         ST,33.9523,-118.3906,GARAGE/CARPORT
02/05/2025 12:00:00 AM,1930,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
